Cell	Group	Amp	Shape	Rep	Spikes
30	8	1	2	5	0
30	8	1	3	5	0
30	8	1	4	5	0
30	8	2	1	5	0
30	8	2	2	5	0
30	8	2	3	5	1
30	8	2	4	5	1
30	8	3	1	5	1
30	8	3	2	5	1
30	8	3	3	5	2
30	8	3	4	5	3
31	8	1	1	1	0
31	8	1	2	1	0
31	8	1	3	1	0
31	8	1	4	1	0
31	8	2	1	1	0
31	8	2	2	1	0
31	8	2	3	1	4
31	8	2	4	1	6
31	8	3	1	1	0
31	8	3	2	1	6
31	8	3	3	1	10
31	8	3	4	1	11
31	8	1	1	2	0
31	8	1	2	2	0
31	8	1	3	2	0
31	8	1	4	2	0
31	8	2	1	2	0
31	8	2	2	2	0
31	8	2	3	2	3
31	8	2	4	2	7
31	8	3	1	2	0
31	8	3	2	2	0
31	8	3	3	2	9
31	8	3	4	2	13
31	8	1	1	3	0
31	8	1	2	3	0
31	8	1	3	3	0
31	8	1	4	3	0
31	8	2	1	3	0
31	8	2	2	3	0
31	8	2	3	3	3
31	8	2	4	3	7
31	8	3	1	3	0
31	8	3	2	3	0
31	8	3	3	3	12
31	8	3	4	3	17
31	8	1	1	4	0
31	8	1	2	4	0
31	8	1	3	4	0
31	8	1	4	4	0
31	8	2	1	4	0
31	8	2	2	4	0
31	8	2	3	4	3
31	8	2	4	4	8
31	8	3	1	4	0
31	8	3	2	4	0
31	8	3	3	4	12
31	8	3	4	4	21
31	8	1	1	5	0
31	8	1	2	5	0
31	8	1	3	5	0
31	8	1	4	5	0
31	8	2	1	5	0
31	8	2	2	5	0
31	8	2	3	5	5
31	8	2	4	5	10
31	8	3	1	5	0
31	8	3	2	5	0
31	8	3	3	5	10
31	8	3	4	5	24
32	8	1	1	1	0
32	8	1	2	1	0
32	8	1	3	1	0
32	8	1	4	1	1
32	8	2	1	1	1
32	8	2	2	1	2
32	8	2	3	1	2
32	8	2	4	1	2
32	8	3	1	1	2
32	8	3	2	1	2
32	8	3	3	1	2
32	8	3	4	1	2
32	8	1	1	2	0
32	8	1	2	2	0
32	8	1	3	2	1
32	8	1	4	2	1
32	8	2	1	2	1
32	8	2	2	2	1
32	8	2	3	2	2
32	8	2	4	2	1
32	8	3	1	2	1
32	8	3	2	2	2
32	8	3	3	2	2
32	8	3	4	2	1
32	8	1	1	3	0
32	8	1	2	3	0
32	8	1	3	3	0
32	8	1	4	3	1
32	8	2	1	3	1
32	8	2	2	3	1
32	8	2	3	3	2
32	8	2	4	3	2
32	8	3	1	3	1
